"","normal","ZP:0000100","ZP:0000107","ZP:0000306","ZP:0000624","ZP:0000943","ZP:0001129","ZP:0001601","ZP:0001609","ZP:0001610","ZP:0001696","ZP:0002008","ZP:0002676","ZP:0003437","ZP:0007203","ZP:0012799","ZP:0014550","ZP:0015121","ZP:0109741","Pi"
"1",0,2,14,0,0,6,2,1,6,1,10,0,12,0,6,1,5,0,0,0.120745920745921
"2",0,2,15,4,3,4,2,6,5,0,9,0,11,0,8,2,4,4,2,0.0864197530864197
"3",12,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0.507352941176471
"4",0,2,13,0,3,5,5,0,5,1,12,2,10,4,11,1,5,0,3,0.0897320084311954
"5",0,2,15,0,0,6,2,1,5,1,9,3,11,0,8,1,4,2,0,0.108074534161491
"6",0,4,13,5,1,6,11,5,5,1,10,0,12,3,9,4,5,2,7,0.0708166761850371
"9",0,3,15,0,0,8,4,0,6,1,10,1,14,4,10,5,5,0,4,0.0923845193508115
"10",0,0,1,0,0,0,7,2,0,0,8,0,6,4,1,6,2,0,0,0.130630630630631
"11",1,0,0,0,0,1,0,0,3,0,9,0,7,0,3,2,1,2,0,0.160098522167488
"12",4,0,0,0,0,0,0,0,1,0,9,0,5,0,1,0,2,0,0,0.229437229437229
"13",0,1,10,1,13,1,3,4,3,1,10,0,9,4,9,2,5,2,11,0.0829928498467824
"14",0,2,15,0,0,8,3,0,5,1,8,0,13,3,8,6,5,0,1,0.102897102897103
"15",0,0,15,0,3,3,2,0,2,1,11,0,14,4,5,0,3,0,4,0.128448665762099
"16",0,2,15,0,0,9,9,3,7,1,12,0,14,2,11,6,4,1,4,0.0892929292929293
"17",1,2,1,0,0,0,0,0,2,0,9,0,9,0,9,1,2,1,0,0.166666666666667
"18",1,2,6,0,11,4,5,2,4,1,9,0,11,4,6,5,5,1,9,0.0716826265389877
"19",0,1,15,0,0,0,3,0,5,0,10,0,8,4,8,6,4,0,3,0.112618724559023
"20",0,0,15,0,0,0,0,0,6,0,10,0,6,0,6,2,0,0,0,0.197979797979798
"21",4,0,2,0,0,1,0,0,5,1,0,0,8,0,1,0,2,0,0,0.166666666666667
"22",0,4,6,1,3,7,3,6,7,1,9,0,12,2,7,2,5,3,11,0.07073544433095
"23",0,1,14,0,0,0,2,1,5,0,10,0,9,3,5,6,4,0,0,0.122598870056497
"24",0,3,2,0,3,3,4,0,3,1,11,0,6,2,11,1,6,0,8,0.0932539682539683
"25",11,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0.426470588235294
"26",4,3,1,1,0,0,0,0,6,0,0,0,3,0,2,0,0,0,0,0.147368421052632
"Total",38,36,204,12,40,72,67,31,96,13,195,6,212,43,151,59,80,18,67,
"pj",0.0263888888888889,0.025,0.141666666666667,0.00833333333333333,0.0277777777777778,0.05,0.0465277777777778,0.0215277777777778,0.0666666666666667,0.00902777777777778,0.135416666666667,0.00416666666666667,0.147222222222222,0.0298611111111111,0.104861111111111,0.0409722222222222,0.0555555555555556,0.0125,0.0465277777777778,
"",,,,,,,,,,,,,,,,,,,,
"kappa",0.0638913494487625,,,,,,,,,,,,,,,,,,,
