"Annotation","All","Survey1","Survey2"
"normal","0.958333333333333","0.938888888888889","0.977777777777778"
"ZP:0000100","0.876388888888889","0.9","0.852777777777778"
"ZP:0000107","0.886111111111111","0.913888888888889","0.858333333333333"
"ZP:0000306","0.975","0.966666666666667","0.983333333333333"
"ZP:0000624","0.943055555555556","0.938888888888889","0.947222222222222"
"ZP:0000943","0.826388888888889","0.813888888888889","0.838888888888889"
"ZP:0001129","0.826388888888889","0.841666666666667","0.811111111111111"
"ZP:0001601","0.922222222222222","0.913888888888889","0.930555555555556"
"ZP:0001609","0.7375","0.733333333333333","0.741666666666667"
"ZP:0001610","0.961111111111111","0.963888888888889","0.958333333333333"
"ZP:0001696","0.793055555555556","0.708333333333333","0.877777777777778"
"ZP:0002008","0.954166666666667","0.983333333333333","0.925"
"ZP:0002676","0.741666666666667","0.727777777777778","0.755555555555556"
"ZP:0003437","0.876388888888889","0.880555555555556","0.872222222222222"
"ZP:0007203","0.715277777777778","0.688888888888889","0.741666666666667"
"ZP:0012799","0.818055555555556","0.836111111111111","0.8"
"ZP:0014550","0.743055555555556","0.777777777777778","0.708333333333333"
"ZP:0015121","0.927777777777778","0.95","0.905555555555556"
"ZP:0109741","0.884722222222222","0.863888888888889","0.905555555555556"
"mean","0.86140350877193","0.860087719298246","0.862719298245614"
"sd","0.0853982577615346","0.0946856511636212","0.0844742667322219"
