"Rater","All","Survey1","Survey2","#Disagree_Survey1","#Concur_Survey1","#Disagree_Survey2","#Concur_Survey2","Fisher_p-value"
"R01","0.879385964912281","0.861842105263158","0.896929824561403","63","393","47","409","0.126933269897073"
"R02","0.907894736842105","0.916666666666667","0.899122807017544","38","418","46","410","0.422945770961666"
"R03","0.871710526315789","0.883771929824561","0.859649122807018","53","403","64","392","0.322087424212889"
"R04","0.815789473684211","0.800438596491228","0.831140350877193","91","365","77","379","0.266768853262925"
"R05","0.850877192982456","0.839912280701754","0.861842105263158","73","383","63","393","0.402859602051275"
"R06","0.827850877192982","0.822368421052632","0.833333333333333","81","375","76","380","0.725779112565709"
"R07","0.868421052631579","0.883771929824561","0.853070175438597","53","403","67","389","0.202707524724157"
"R08","0.905701754385965","0.918859649122807","0.892543859649123","37","419","49","407","0.212428275383761"
"R09","0.875","0.87719298245614","0.87280701754386","56","400","58","398","0.920289742113523"
"R10","0.87390350877193","0.87719298245614","0.870614035087719","56","400","59","397","0.841953799018191"
"R11","0.871710526315789","0.885964912280702","0.857456140350877","52","404","65","391","0.234639457843498"
"R12","0.87719298245614","0.875","0.879385964912281","57","399","55","401","0.919684861174251"
"R13","0.841008771929825","0.833333333333333","0.848684210526316","76","380","69","387","0.587009611455654"
"R14","0.866228070175439","0.857456140350877","0.875","65","391","57","399","0.496038370635396"
"R15","0.788377192982456","0.767543859649123","0.809210526315789","106","350","87","369","0.144375632280135"
"mean","0.86140350877193","0.860087719298246","0.862719298245614",,,,,
"sd","0.0320586091236362","0.0413455506366313","0.0253964303546201",,,,,
