"Annotation","All","Survey1","Survey2","#Disagree_Survey1","#Concur_Survey1","#Disagree_Survey2","#Concur_Survey2","Fisher_p-value"
"normal","0.958333333333333","0.938888888888889","0.977777777777778","22","338","8","352","0.0140210723611653"
"ZP:0000043","0.908333333333333","0.947222222222222","0.869444444444444","19","341","47","313","0.000414957831214241"
"ZP:0000054","0.872222222222222","0.936111111111111","0.808333333333333","23","337","69","291","3.12052801869238e-07"
"ZP:0000100","0.876388888888889","0.9","0.852777777777778","36","324","53","307","0.069576900269165"
"ZP:0000102","0.808333333333333","0.886111111111111","0.730555555555556","41","319","97","263","1.39985085953918e-07"
"ZP:0000107","0.970833333333333","0.972222222222222","0.969444444444444","10","350","11","349","1"
"ZP:0000122","0.980555555555556","0.994444444444444","0.966666666666667","2","358","12","348","0.012117992867978"
"ZP:0000306","0.988888888888889","0.994444444444444","0.983333333333333","2","358","6","354","0.286314765795377"
"ZP:0000398","0.944444444444444","0.969444444444444","0.919444444444444","11","349","29","331","0.00507256963145191"
"ZP:0000473","0.825","0.855555555555556","0.794444444444444","52","308","74","286","0.0391345800152988"
"ZP:0000624","0.955555555555556","0.961111111111111","0.95","14","346","18","342","0.588128251305575"
"ZP:0000916","0.897222222222222","0.980555555555556","0.813888888888889","7","353","67","293","1.35403598820375e-14"
"ZP:0000943","0.904166666666667","0.852777777777778","0.955555555555556","53","307","16","344","3.2062059617338e-06"
"ZP:0001129","0.983333333333333","0.991666666666667","0.975","3","357","9","351","0.142627551489735"
"ZP:0001130","0.936111111111111","0.952777777777778","0.919444444444444","17","343","29","331","0.0927362909225097"
"ZP:0001192","0.888888888888889","0.916666666666667","0.861111111111111","30","330","50","310","0.0237699476818425"
"ZP:0001211","0.720833333333333","0.755555555555556","0.686111111111111","88","272","113","247","0.0460189340944109"
"ZP:0001601","0.922222222222222","0.913888888888889","0.930555555555556","31","329","25","335","0.48688121068165"
"ZP:0001609","0.845833333333333","0.805555555555556","0.886111111111111","70","290","41","319","0.0037144676702014"
"ZP:0001610","0.961111111111111","0.963888888888889","0.958333333333333","13","347","15","345","0.847562668018358"
"ZP:0001696","0.8375","0.775","0.9","81","279","36","324","7.14816648180702e-06"
"ZP:0002008","0.970833333333333","0.988888888888889","0.952777777777778","4","356","17","343","0.00641194432025948"
"ZP:0002060","0.791666666666667","0.719444444444444","0.863888888888889","101","259","49","311","2.40177484537377e-06"
"ZP:0002311","0.966666666666667","0.991666666666667","0.941666666666667","3","357","21","339","0.000221754287541225"
"ZP:0002676","0.827777777777778","0.833333333333333","0.822222222222222","60","300","64","296","0.767243285431665"
"ZP:0002944","0.908333333333333","0.933333333333333","0.883333333333333","24","336","42","318","0.0274872013215318"
"ZP:0003437","0.876388888888889","0.880555555555556","0.872222222222222","43","317","46","314","0.82096861732346"
"ZP:0003678","0.997222222222222","0.997222222222222","0.997222222222222","1","359","1","359","1"
"ZP:0004969","0.895833333333333","0.894444444444444","0.897222222222222","38","322","37","323","1"
"ZP:0005012","0.922222222222222","0.958333333333333","0.886111111111111","15","345","41","319","0.000413067748449698"
"ZP:0005125","0.976388888888889","0.994444444444444","0.958333333333333","2","358","15","345","0.00209889164012699"
"ZP:0005930","0.972222222222222","0.983333333333333","0.961111111111111","6","354","14","346","0.11027009589964"
"ZP:0006124","0.977777777777778","0.975","0.980555555555556","9","351","7","353","0.801401891552365"
"ZP:0007203","0.745833333333333","0.680555555555556","0.811111111111111","115","245","68","292","7.72432533871449e-05"
"ZP:0009010","0.9625","0.95","0.975","18","342","9","351","0.115056650382493"
"ZP:0010319","0.938888888888889","0.963888888888889","0.913888888888889","13","347","31","329","0.0075205658163575"
"ZP:0012799","0.933333333333333","0.955555555555556","0.911111111111111","16","344","32","328","0.0241260497189546"
"ZP:0014550","0.743055555555556","0.777777777777778","0.708333333333333","80","280","105","255","0.0404932915488892"
"ZP:0015011","0.956944444444444","0.997222222222222","0.916666666666667","1","359","30","330","1.65166456772583e-08"
"ZP:0015121","0.95","0.958333333333333","0.941666666666667","15","345","21","339","0.392869169528459"
"ZP:0016092","0.956944444444444","0.972222222222222","0.941666666666667","10","350","21","339","0.0647515992027843"
"ZP:0016128","0.983333333333333","0.994444444444444","0.972222222222222","2","358","10","350","0.0370154083225322"
"ZP:0019090","0.977777777777778","0.991666666666667","0.963888888888889","3","357","13","347","0.0198988423713534"
"ZP:0109741","0.902777777777778","0.861111111111111","0.944444444444444","50","310","20","340","0.000220230626334971"
"mean","0.911837121212121","0.920833333333333","0.902840909090909",,,,,
"sd","0.0714826779096324","0.0819074830144246","0.0756835266676878",,,,,
